Age,Monthly_Charges,Total_Charges,Tenure_Months,Number_of_Services,Support_Calls,Contract_Length,Payment_Delay_Days,Churn
56,109.95,9943.59,2,6,10,12,17,Yes
69,40.26,5604.89,61,6,1,12,9,No
46,51.65,7246.05,36,2,2,24,3,No
32,129.49,1033.99,49,2,2,24,6,No
60,47.21,6501.49,27,3,5,12,23,Yes
25,29.43,7764.17,12,5,4,24,16,No
38,111.43,7895.89,58,1,4,36,7,No
56,72.33,7816.06,6,5,10,24,0,Yes
36,139.61,2649.68,44,2,3,1,21,Yes
40,104.53,9766.29,47,7,3,24,20,No
28,31.75,9954.23,23,3,8,24,9,No
28,143.22,1218.16,26,3,6,12,14,Yes
41,53.61,9396.24,7,3,7,24,22,Yes
53,63.84,3249.77,32,3,3,36,5,No
57,72.29,7048.2,33,3,10,12,9,Yes
41,26.66,3712.05,20,1,2,36,29,No
20,84.55,9693.67,69,6,0,1,0,No
39,36.03,1464.29,52,5,8,12,30,Yes
19,72.13,5228.59,42,7,8,12,5,Yes
41,65.59,4566.45,1,6,1,1,12,Yes
61,120.47,3597.22,63,2,3,1,29,Yes
47,124.41,6632.57,7,2,3,36,2,Yes
55,39.94,1745.03,58,6,0,24,11,No
19,67.65,7308.29,50,3,1,12,14,No
38,68.54,9815.63,34,3,7,12,30,No
50,39.68,8143.31,51,6,5,36,21,No
29,123.8,8670.16,10,3,0,12,6,Yes
39,111.94,3916.55,26,6,6,1,5,Yes
61,44.75,3586.42,32,7,10,12,8,No
42,67.67,5411.96,42,4,6,24,15,No
66,33.75,934.4,62,2,5,1,11,No
44,101.67,9480.9,12,3,10,36,8,Yes
59,35.78,1865.96,40,5,7,36,7,No
45,148.17,9078.62,34,4,10,12,4,Yes
33,121.49,1294.03,70,1,4,1,25,Yes
32,70.73,8314.94,27,7,1,1,2,No
64,95.21,1943.64,8,4,3,1,3,Yes
68,138.47,862.25,47,4,10,12,10,Yes
61,92.03,7335.15,26,7,7,12,9,No
69,42.68,3162.52,57,4,7,36,7,No
20,69.23,7287.71,7,5,4,24,8,No
54,129.61,5773.31,26,7,5,1,12,Yes
68,103.75,1533.67,59,2,8,12,23,Yes
24,104.59,9355.24,69,7,9,12,25,Yes
38,132.69,4796.98,47,3,9,24,18,Yes
26,136.22,7477.25,35,5,9,12,22,Yes
56,139.57,5259.7,30,5,10,12,10,Yes
35,32.33,6241.43,50,7,10,12,23,No
21,90.74,3376.35,24,6,1,1,2,No
42,116.27,2403.42,30,3,4,24,0,No
31,118.4,5654.42,54,6,8,36,22,No
67,98.87,4682.08,67,6,2,24,13,Yes
26,41.68,4206.08,32,7,5,24,18,No
43,123.66,6889.39,8,4,3,36,0,Yes
19,113.61,7059.81,50,6,3,36,22,No
37,31.2,936.24,47,1,2,12,26,Yes
45,80.3,3718.07,46,4,9,12,11,No
64,42.62,4411.76,35,4,0,12,13,No
24,63.87,1420.48,61,6,10,1,14,Yes
61,22.35,2741.06,51,6,7,1,6,No
25,72.04,990.6,63,2,4,24,3,No
64,91.48,9964.3,8,4,1,1,13,Yes
52,100.55,7497.29,34,1,0,1,17,Yes
31,106.25,1330.78,25,5,0,36,15,No
34,128.72,692.37,44,7,3,12,25,Yes
53,48.01,7333.23,43,6,3,36,13,No
67,35.66,4672.33,50,4,5,12,20,No
57,130.7,7974.57,13,5,10,24,10,No
21,40.36,9273.02,46,6,6,36,26,No
19,146.72,6193.35,53,2,0,12,24,Yes
23,129.53,2277.53,63,7,9,36,5,No
59,85.11,7930.84,2,6,1,36,14,Yes
21,147.58,9580.21,40,1,2,12,9,No
46,32.66,6012.2,23,3,8,1,29,Yes
35,59.4,6978.98,59,3,3,36,11,Yes
43,102.97,3706.01,69,6,5,24,8,No
61,65.5,4124.51,34,2,1,1,27,Yes
51,140.69,7479.22,27,1,10,36,16,Yes
27,28.53,9313.83,55,6,1,24,17,No
53,91.42,6475.39,4,5,1,24,10,Yes
31,96.81,8003.56,68,2,10,12,5,No
48,104.85,2130.53,72,4,4,1,18,Yes
65,53.24,2513.61,70,5,8,1,1,Yes
32,67.39,5554.33,27,6,5,12,21,Yes
25,129.68,2177.26,47,4,8,36,22,Yes
31,45.34,6532.45,40,4,5,36,19,No
40,127.49,3270.71,27,7,8,24,12,Yes
57,93.15,8019.56,7,5,4,24,28,Yes
38,119.08,8177.05,23,7,10,24,25,Yes
33,112.77,4905.98,64,4,0,24,30,Yes
62,46.98,2217.7,29,7,5,12,8,Yes
35,93.95,6644.36,61,3,3,36,26,No
64,132.8,9931.48,44,7,8,24,11,Yes
41,76.18,6414.61,69,5,5,1,15,No
