Age,Monthly_Charges,Total_Charges,Tenure_Months,Number_of_Services,Support_Calls,Contract_Length,Payment_Delay_Days,Churn
63,61.33,10279.33,32,7,2,24,2,No
20,115.96,1713.44,27,1,4,1,20,Yes
46,92.05,10890.48,1,2,4,12,17,Yes
52,95.26,7126.69,58,4,4,36,15,Yes
56,147.0,12255.65,17,7,7,12,13,Yes
35,144.93,12593.64,55,6,8,12,17,Yes
37,53.97,13724.06,31,3,10,12,30,No
60,102.88,13357.41,40,3,8,24,6,Yes
40,42.89,7637.39,1,1,6,12,27,Yes
51,118.22,13510.15,52,4,10,24,12,Yes
50,97.83,4488.98,37,1,2,1,12,Yes
67,139.83,14202.39,36,2,5,12,10,Yes
65,109.63,9431.94,59,5,3,1,8,Yes
27,82.87,2180.28,21,2,3,1,28,Yes
50,58.02,13957.13,14,5,0,1,5,No
64,41.33,7151.41,33,1,8,12,13,No
50,53.08,2301.56,26,2,2,1,3,No
65,126.26,12860.1,58,7,8,12,8,Yes
43,141.6,12687.5,25,6,8,1,22,Yes
37,130.43,14079.43,33,3,8,12,17,Yes
32,127.09,10405.84,64,5,10,1,11,Yes
54,60.96,9484.4,58,3,9,12,6,No
50,103.15,12186.34,72,7,4,1,14,Yes
34,93.57,7661.01,69,2,6,1,21,Yes
22,122.74,14272.19,25,2,4,24,21,Yes
67,106.83,11615.58,2,1,10,36,13,Yes
21,22.55,940.4,40,3,4,24,26,No
20,99.82,4005.45,25,5,0,24,25,Yes
38,28.64,2926.02,51,5,9,36,29,No
57,105.58,756.75,18,2,0,36,1,Yes
20,62.84,11293.35,68,4,3,24,17,No
38,117.85,3473.12,54,7,4,12,30,Yes
65,102.44,4308.62,15,4,0,36,2,Yes
66,91.76,8309.54,1,1,2,24,9,Yes
25,127.66,14136.81,5,2,1,24,5,Yes
59,82.87,3880.19,33,2,7,1,20,Yes
53,135.83,1185.93,60,2,4,36,3,Yes
46,129.06,11758.55,70,1,7,24,0,Yes
56,27.5,7865.17,30,3,0,24,14,No
51,136.34,8610.0,58,4,4,12,11,Yes
39,100.69,2863.73,7,6,2,36,10,Yes
48,145.45,1412.02,4,4,8,1,22,Yes
45,115.12,14853.22,10,1,5,36,0,Yes
52,122.47,11341.76,8,7,9,1,7,Yes
51,90.02,2314.85,27,5,3,12,25,Yes
30,145.43,2989.75,65,5,5,24,25,Yes
58,111.51,2504.52,72,1,3,1,8,Yes
21,74.51,1978.67,41,3,9,24,21,Yes
60,28.97,14545.02,4,7,7,24,27,No
23,147.13,11364.89,15,6,10,36,30,Yes
18,134.64,10174.48,54,1,8,12,22,Yes
29,102.75,8292.52,17,6,5,24,5,Yes
52,91.75,12385.94,45,2,5,1,3,Yes
28,99.22,9143.42,30,5,3,12,4,Yes
40,133.77,13958.29,42,3,3,24,23,Yes
31,140.12,14427.21,66,3,1,1,25,Yes
36,57.85,893.43,20,1,10,24,10,No
54,59.5,10904.32,52,6,0,12,15,No
33,26.34,9784.97,14,3,2,36,20,No
61,148.75,7695.74,6,6,8,24,15,Yes
45,145.48,8236.23,34,7,4,24,5,Yes
62,122.21,7536.05,41,6,9,36,19,Yes
48,77.64,1625.46,2,4,4,36,3,Yes
24,94.09,10296.22,22,4,6,12,14,Yes
63,120.64,13545.69,31,5,4,24,0,Yes
69,48.8,4252.69,63,1,9,36,8,No
44,48.41,7424.94,67,2,9,1,10,No
34,93.03,13220.81,47,3,7,36,28,Yes
24,108.11,12705.3,63,1,1,36,19,Yes
32,86.44,7535.51,42,5,1,24,17,Yes
57,59.22,11202.35,7,1,8,36,10,No
29,70.57,7276.35,48,6,3,12,25,Yes
25,96.35,12115.82,48,4,3,24,18,Yes
19,27.73,5438.1,32,4,10,12,18,No
61,146.96,13205.77,34,2,5,36,7,Yes
55,146.3,10582.87,41,1,10,36,23,Yes
43,129.59,7498.4,62,4,3,1,3,Yes
68,67.61,8380.76,25,2,7,12,10,Yes
38,106.8,12110.22,42,2,3,24,24,Yes
67,103.59,1805.79,24,5,8,36,24,Yes
30,73.14,1242.69,7,5,8,36,3,Yes
36,134.53,6841.05,67,2,7,1,18,Yes
35,91.86,10911.62,33,4,6,1,28,Yes
19,24.91,12738.72,48,5,7,24,26,No
69,58.75,4446.53,33,3,0,1,28,No
