Age,Annual_Income,Credit_Score,Years_Employed,Purchase_Count,Website_Visits,Will_Purchase
56,69376,605,16,12,11,No
46,65587,569,4,22,46,Yes
32,56976,584,11,25,34,Yes
60,124587,526,10,17,28,Yes
25,147534,680,14,29,5,Yes
38,87584,759,2,29,5,No
56,124537,306,0,4,21,No
36,98477,328,19,24,12,Yes
40,130911,332,15,15,50,No
28,62533,378,1,26,4,No
28,21828,758,1,18,49,Yes
41,21917,837,2,13,42,No
53,40618,781,7,24,20,Yes
57,52254,729,14,29,38,Yes
41,125292,584,6,15,25,Yes
20,136714,815,5,26,14,Yes
39,67362,398,8,14,11,No
19,40128,696,19,21,32,Yes
41,143781,788,0,3,11,No
61,131281,338,7,6,18,Yes
47,79383,570,2,15,27,Yes
55,85545,456,3,23,18,No
19,102180,374,14,21,23,Yes
38,107958,429,5,20,11,No
50,29865,383,14,21,21,Yes
29,22219,321,20,20,44,No
39,59809,758,2,7,5,No
61,136748,838,20,16,23,Yes
42,25287,681,20,15,41,Yes
44,146593,739,13,26,25,Yes
59,54387,320,19,22,41,No
45,28512,602,13,30,10,No
33,21342,383,3,9,22,No
32,83076,752,11,9,19,Yes
64,128872,686,16,26,1,Yes
61,39216,806,6,1,7,No
20,137512,556,8,30,4,No
54,136682,826,2,29,1,Yes
24,113070,461,12,8,15,Yes
38,99767,462,14,16,40,Yes
26,117829,823,17,10,12,No
56,46614,570,18,9,22,No
35,56258,791,0,21,22,Yes
21,113789,507,5,24,50,Yes
42,62078,838,1,16,47,Yes
31,126288,359,13,3,17,No
26,103524,729,5,15,29,Yes
43,116573,608,13,19,46,Yes
19,32219,819,3,14,14,No
37,20235,326,20,24,50,Yes
45,62929,498,7,26,20,Yes
64,147309,686,2,20,50,Yes
24,87444,648,18,4,48,Yes
61,28567,835,13,5,33,Yes
25,121834,677,19,16,43,Yes
64,90792,826,16,0,15,Yes
52,85441,452,7,30,12,No
31,104555,505,13,24,40,Yes
34,93698,754,5,18,20,No
53,144450,572,15,3,30,Yes
57,137248,535,18,16,38,Yes
21,25415,820,13,8,3,No
19,56159,800,18,30,28,Yes
23,63925,416,2,23,26,No
59,146523,685,9,1,30,Yes
21,25951,643,18,7,13,No
46,107388,694,8,14,13,Yes
35,28007,363,19,6,2,No
43,146730,371,12,26,37,No
61,61832,573,6,5,49,No
51,78596,619,13,0,38,Yes
27,141101,637,8,14,2,No
53,50523,665,18,22,36,No
31,108861,794,14,25,26,Yes
48,144194,465,19,6,11,Yes
65,106740,843,13,28,8,Yes
32,35524,310,5,29,44,No
25,149028,600,20,24,40,Yes
31,39282,401,3,16,43,Yes
40,43930,724,7,1,22,Yes
57,20077,691,16,26,20,Yes
38,125881,513,8,8,8,No
33,145501,387,0,28,29,Yes
62,40611,700,19,8,40,Yes
35,36984,345,13,12,26,No
64,34060,762,10,5,30,Yes
41,102985,609,20,5,17,Yes
43,104056,385,2,19,20,No
42,145329,391,8,19,16,No
62,63303,541,13,20,46,Yes
58,79207,301,8,2,43,No
46,95046,524,3,16,7,No
32,49287,415,3,30,16,Yes
62,113709,402,7,16,45,Yes
18,59711,493,1,11,47,No
42,31954,465,8,15,48,No
24,93340,389,13,14,27,No
26,92101,421,8,12,23,No
41,91520,442,15,22,24,Yes
18,107062,405,16,0,9,No
61,122974,727,15,16,35,Yes
25,38574,604,11,2,20,No
41,29184,616,2,25,37,No
28,39096,308,10,14,42,No
34,87728,372,13,3,17,No
25,54016,658,17,3,47,No
52,31246,522,20,17,31,Yes
52,65558,715,20,16,8,Yes
50,138721,669,4,18,15,Yes
22,38381,563,15,10,31,No
59,147796,617,19,19,30,Yes
56,56455,383,4,2,46,No
58,112263,617,2,7,20,Yes
45,24018,410,11,13,39,Yes
24,31302,550,0,25,12,No
26,87506,682,20,0,49,No
25,61157,306,8,13,17,No
29,74917,758,8,1,42,Yes
51,112738,383,3,28,30,No
50,116646,507,2,22,29,Yes
65,103122,689,16,3,19,No
40,44519,613,1,23,46,Yes
41,116809,321,0,26,11,Yes
54,107487,709,7,28,34,Yes
52,76819,814,12,18,50,Yes
61,100910,426,14,5,7,No
57,140430,313,7,24,44,Yes
39,91324,311,11,0,34,No
44,25408,386,11,16,20,No
52,79379,823,13,7,50,Yes
18,45053,836,14,18,38,Yes
52,29446,600,14,20,24,No
54,20922,542,8,0,10,No
64,118723,421,18,4,32,No
31,71356,446,19,26,15,No
20,30789,655,7,15,37,No
18,117720,608,20,5,20,No
22,86656,587,18,7,3,No
43,64028,606,5,12,37,No
31,84484,848,19,15,40,Yes
56,52154,651,18,29,8,Yes
44,102870,611,3,2,40,No
26,22336,358,6,18,44,No
32,123677,334,3,11,23,No
32,87779,744,11,15,40,Yes
43,39029,392,12,26,11,No
59,79201,506,2,10,46,Yes
30,52265,652,11,9,8,Yes
49,122916,631,1,24,29,No
56,132250,458,1,19,30,No
49,136553,323,8,30,10,Yes
21,63872,703,0,3,39,No
