Area_sqft,Bedrooms,Bathrooms,Age_years,Distance_to_City_km,Parking,House_Price
3674,2,1,27,15.52,2,16528860
1360,1,2,25,24.04,2,6291969
1794,2,1,10,21.51,2,8696815
1630,1,1,8,2.46,1,8123249
1595,4,2,6,3.11,0,8816087
3592,4,2,21,12.68,2,17359594
2138,5,1,16,9.56,1,10655186
2669,2,3,16,7.74,0,12472923
966,5,2,1,9.15,1,6697533
1738,2,3,5,24.3,0,8762396
830,5,1,13,27.95,1,4943712
1982,3,2,5,12.75,0,9659060
2635,3,3,1,27.28,0,13333571
3944,3,2,0,10.32,1,19121229
3671,3,1,9,14.82,2,17336545
3419,1,3,20,7.55,0,15808657
630,3,1,4,19.57,2,3689105
2185,4,1,1,29.39,1,10989267
3880,4,2,21,18.5,2,18380915
1269,1,3,15,11.38,2,6712999
2891,3,1,24,19.79,2,13782036
2015,3,1,1,4.56,2,10941679
3985,3,3,9,26.77,2,18505971
3353,5,1,1,15.59,0,16437908
2933,2,1,15,14.03,0,13004178
1715,5,3,15,17.99,0,8824314
1455,2,3,18,19.12,1,7012720
2824,3,3,28,3.08,2,13759040
1684,3,3,6,20.8,0,8612017
959,5,2,21,8.02,1,5507082
3885,5,3,11,21.7,0,18998941
521,2,2,23,24.85,0,1975173
2800,4,2,14,24.31,2,13474152
1247,2,2,7,17.02,1,6360211
3404,5,1,5,16.08,2,16900800
974,5,2,27,5.14,2,5664438
1582,1,2,26,23.49,0,7224362
3058,5,1,9,8.87,2,15625684
2547,1,1,2,15.4,1,11921172
3247,4,1,18,9.24,2,15611368
1475,2,3,30,4.88,2,7147540
2306,2,1,16,19.26,2,10683262
689,1,1,6,2.58,0,3837029
3505,2,2,20,22.71,1,15613355
3234,5,1,19,10.21,0,15833979
3505,3,3,25,1.0,0,17090888
1062,1,1,30,15.82,0,4275140
2399,2,3,3,2.36,0,12110959
1767,1,1,13,9.01,0,8285561
3379,1,1,19,21.5,1,15395346
2028,3,1,21,2.82,2,9883527
3702,5,1,14,25.34,0,17825686
1146,1,3,23,1.11,0,5741924
2568,2,3,7,8.16,1,13378203
3388,4,2,20,22.49,1,15974034
2714,1,3,14,10.17,2,12515600
1797,1,1,21,3.95,1,7944265
2935,3,2,19,11.45,2,14126482
1100,5,2,27,8.84,0,6195171
2863,4,2,13,25.44,0,13616573
2561,2,1,26,10.09,2,11734967
741,4,3,28,23.88,1,4188111
2541,2,1,8,26.86,2,11755992
3324,5,2,7,13.58,1,16498583
3917,2,1,25,27.39,0,17091768
3112,3,1,27,11.94,1,14644757
3445,3,3,25,28.96,2,16423718
1863,3,3,16,3.59,2,9346846
2639,3,2,30,20.92,0,11981554
1890,4,1,1,15.32,1,10295415
3503,5,1,24,12.24,1,16808374
1978,2,3,23,19.35,1,9226690
3999,2,1,29,21.41,0,17345759
3056,3,1,2,1.13,1,15477636
1275,3,1,7,5.84,2,7095829
534,1,3,11,21.68,1,2606153
2753,5,2,0,20.33,0,14389373
3652,4,2,9,29.02,1,17098499
2455,2,1,19,23.07,1,11145978
2085,1,2,2,28.57,2,9984946
3959,1,3,5,21.37,1,19007695
3573,2,3,6,9.64,2,17350438
1521,4,2,19,4.06,2,8092139
3961,1,2,22,23.67,0,17350330
3113,1,1,24,19.68,2,13744801
1629,5,2,26,2.4,2,8478176
2000,4,1,17,11.44,0,9664894
1202,1,1,10,28.75,2,5615571
2949,4,3,18,15.51,0,13761756
3277,2,3,4,13.55,1,15597942
2079,3,3,18,14.27,0,10202345
661,1,3,10,7.06,2,4003614
701,5,2,23,11.69,0,4167342
2481,2,3,11,11.72,2,12274901
1495,4,2,9,2.52,1,8219821
2817,2,3,7,23.26,0,13501674
1315,1,2,23,13.08,1,6169436
3842,4,1,27,24.84,2,17833983
955,3,2,27,25.66,2,4477060
1775,2,2,8,7.15,1,9253274
1516,1,3,3,20.06,0,7645077
2843,5,2,4,14.7,0,14777553
3267,4,1,20,26.52,2,15709318
837,2,1,7,7.26,1,4295618
1378,2,3,22,20.66,1,6443043
1576,3,1,8,18.62,0,8072987
1291,3,2,14,9.56,0,6322077
2764,5,1,14,4.96,0,14133844
1263,5,3,15,19.9,1,7064529
2735,1,2,13,22.42,0,12657858
879,1,3,7,10.15,0,4768402
992,5,2,17,19.7,2,5436903
3612,5,1,9,12.46,0,17883686
1680,4,3,27,21.68,0,8909081
2562,3,3,19,6.78,1,12489648
564,1,2,5,26.82,1,2956010
3068,3,3,11,9.33,2,14562125
1867,3,2,1,11.67,0,10080976
1652,5,2,6,2.68,2,9708341
2527,4,2,15,4.23,1,12288554
3195,2,2,2,15.96,2,15032079
1995,4,1,12,8.76,1,9674992
3634,4,2,2,25.23,2,17999692
1662,3,3,26,1.43,2,8716648
2022,4,1,17,11.99,0,9713367
3140,1,3,10,10.78,2,15179215
891,3,1,7,1.56,0,5203019
2198,1,2,5,4.61,0,10641983
918,2,1,0,13.0,0,5293549
2836,3,1,27,15.29,0,12639966
