Age,Annual_Income,Credit_Score,Employment_Years,Loan_Amount,Debt_to_Income_Ratio,Existing_Loans,Dependents,Loan_Approved
59,120595,783,0,91912,0.081,2,2,No
49,62487,678,29,65214,0.647,4,4,No
35,145931,755,0,67750,0.65,1,3,No
63,65849,307,30,10967,0.165,5,2,No
28,170622,617,23,59246,0.13,5,0,No
41,101400,633,22,62738,0.169,0,1,Yes
59,154120,529,0,44233,0.357,5,4,No
39,115930,807,5,9539,0.243,4,0,No
43,74699,826,1,75833,0.252,4,3,No
31,115470,774,11,90821,0.536,3,2,No
31,169779,705,16,92718,0.584,0,4,No
44,157996,586,9,55050,0.632,0,2,No
56,120023,745,4,86775,0.359,4,1,No
60,54018,642,4,79681,0.198,1,1,No
44,46031,624,1,73675,0.383,1,4,No
23,129985,466,11,77221,0.573,2,3,No
42,93237,595,4,79818,0.069,3,4,No
22,133426,482,29,98763,0.597,5,4,No
44,41719,385,14,37953,0.186,5,3,No
64,34718,448,22,84948,0.236,3,1,No
50,25056,358,19,23957,0.268,2,2,No
58,171424,304,17,46097,0.598,2,1,No
22,146743,382,28,96597,0.156,2,2,No
41,72820,682,30,53917,0.184,0,2,Yes
53,93683,848,20,46662,0.489,2,4,Yes
32,94073,778,26,46133,0.611,0,4,No
42,25721,326,5,79020,0.113,0,4,No
64,65194,824,28,5788,0.363,4,2,Yes
45,104882,713,23,49418,0.599,3,0,Yes
47,195955,479,13,47386,0.582,5,2,No
62,166983,763,24,68263,0.619,1,4,No
48,176944,826,10,68464,0.591,0,0,No
36,98072,300,25,56453,0.239,3,0,No
35,148919,570,7,81567,0.175,3,1,No
64,110968,783,22,28903,0.591,3,4,No
23,132251,347,24,79886,0.477,2,4,No
57,69537,482,8,64949,0.277,0,0,No
27,134254,672,5,64761,0.478,2,4,No
41,172932,838,27,46085,0.234,5,2,Yes
29,186815,806,2,88342,0.399,5,3,No
59,198631,805,29,79452,0.19,2,3,Yes
38,97941,365,27,49105,0.387,4,4,No
24,188277,351,26,87006,0.604,2,0,No
45,42645,769,7,49730,0.513,3,0,No
34,137661,542,15,84893,0.444,1,3,No
29,96473,636,18,9123,0.198,2,3,No
46,75734,420,0,91034,0.088,3,4,No
22,186503,344,12,76558,0.476,2,1,No
40,152705,351,11,9302,0.396,2,0,No
48,85914,450,19,13853,0.178,5,4,No
27,42882,712,29,77532,0.611,2,2,No
64,115860,840,24,32134,0.381,5,0,No
28,199418,797,28,87572,0.393,2,4,No
55,169051,508,7,97437,0.229,1,0,No
34,125513,307,29,60433,0.578,1,1,No
37,143751,690,13,46325,0.585,4,1,No
56,69828,546,5,56704,0.479,2,0,Yes
60,163300,694,2,85939,0.11,3,0,No
24,145354,638,2,52383,0.101,0,2,No
22,99217,711,22,61762,0.332,4,2,Yes
26,131500,839,13,25925,0.135,3,4,No
62,98803,644,20,43908,0.249,4,2,No
24,95908,595,2,63439,0.153,0,4,No
49,63918,534,27,66110,0.236,0,4,No
38,166992,744,11,66872,0.616,0,2,No
46,52785,532,11,56433,0.502,3,0,No
64,107757,609,16,84825,0.133,4,3,No
54,181250,777,10,40385,0.451,5,4,No
30,124490,813,8,11884,0.068,0,2,Yes
56,96997,635,26,29412,0.64,3,2,Yes
34,134768,351,27,80615,0.369,2,0,No
51,39052,845,27,37839,0.353,5,0,No
35,74383,600,4,40679,0.194,5,1,No
28,156399,542,10,26589,0.325,2,1,No
34,113301,655,30,78619,0.366,3,2,No
43,95775,741,6,34868,0.445,2,2,No
60,100614,418,9,21409,0.078,2,3,No
41,163110,708,30,23401,0.255,0,3,No
36,33048,670,8,51494,0.282,4,0,No
65,39954,372,19,98754,0.139,3,2,No
38,137010,748,28,94730,0.194,0,2,Yes
44,38225,770,14,78489,0.192,5,2,No
46,130622,455,28,32475,0.536,1,3,No
45,169603,609,27,79644,0.462,4,4,No
65,34530,335,10,74048,0.604,1,4,No
61,49791,547,20,65661,0.236,5,1,No
49,130806,727,2,7365,0.579,0,4,No
35,157721,343,22,67186,0.568,4,1,No
65,169544,752,28,9125,0.319,4,4,Yes
21,115721,418,14,81035,0.428,0,1,No
