Word_Frequency,Link_Count,Capital_Ratio,Exclamation_Count,Email_Length,Attachment_Count,Unknown_Sender,Email_Type
52,11,0.575,11,119,2,0,Spam
93,17,0.398,15,284,1,1,Spam
15,18,0.364,9,769,3,1,Not Spam
72,14,0.012,3,769,4,0,Not Spam
61,7,0.249,14,68,4,0,Not Spam
21,18,0.719,3,696,3,1,Spam
83,9,0.604,9,818,2,0,Spam
87,6,0.916,14,434,0,0,Spam
75,17,0.05,14,78,5,1,Spam
75,15,0.155,3,202,5,1,Spam
88,19,0.789,15,678,5,1,Spam
100,5,0.359,13,466,0,0,Not Spam
24,8,0.118,10,917,1,0,Not Spam
3,20,0.996,14,320,3,0,Spam
22,12,0.787,5,627,3,0,Spam
53,20,0.409,3,574,0,0,Not Spam
2,7,0.823,8,373,2,0,Not Spam
88,15,0.681,8,788,5,1,Spam
30,12,0.79,2,232,3,1,Not Spam
38,12,0.815,6,208,4,0,Spam
2,16,0.085,11,662,4,1,Spam
64,19,0.623,4,366,3,1,Spam
60,4,0.007,14,831,5,1,Spam
21,20,0.043,11,922,5,0,Not Spam
33,16,0.904,8,820,5,1,Spam
76,8,0.528,1,156,2,1,Not Spam
58,1,0.736,2,49,4,0,Not Spam
22,17,0.839,9,165,2,0,Not Spam
89,8,0.95,4,843,0,0,Spam
49,5,0.869,11,487,1,1,Spam
91,10,0.483,15,636,5,1,Spam
59,5,0.336,4,522,0,1,Not Spam
42,5,0.154,9,818,1,0,Not Spam
92,12,0.4,11,987,4,0,Spam
60,10,0.366,14,210,1,0,Spam
80,13,0.56,13,490,1,1,Spam
15,1,0.666,13,709,3,1,Spam
62,7,0.978,6,364,1,1,Not Spam
62,2,0.728,12,770,3,0,Spam
47,20,0.644,15,20,1,0,Spam
62,2,0.335,13,129,3,1,Not Spam
51,0,0.035,7,869,4,1,Not Spam
55,18,0.288,7,806,4,1,Spam
64,17,0.768,13,902,1,0,Spam
3,16,0.205,0,913,2,1,Not Spam
51,19,0.712,13,765,4,0,Spam
7,12,0.58,0,83,0,1,Not Spam
21,2,0.172,2,775,0,1,Not Spam
73,0,0.262,0,72,3,1,Not Spam
39,3,0.496,0,281,2,1,Not Spam
18,12,0.418,9,548,5,1,Spam
4,16,0.779,7,321,3,1,Spam
89,10,0.734,15,987,1,1,Spam
60,1,0.575,0,905,4,1,Not Spam
14,15,0.822,8,253,2,1,Spam
9,1,0.563,1,92,3,1,Not Spam
90,18,0.964,8,376,3,0,Spam
53,18,0.217,13,970,0,0,Spam
2,15,0.714,6,622,1,1,Spam
84,18,0.37,8,503,3,1,Spam
92,8,0.279,2,25,0,0,Not Spam
60,0,0.18,0,729,2,0,Not Spam
71,9,0.553,0,896,3,0,Not Spam
44,18,0.215,10,727,5,1,Spam
8,0,0.2,14,827,5,1,Not Spam
47,1,0.991,9,878,0,1,Not Spam
35,15,0.802,5,853,5,1,Spam
78,11,0.748,6,156,1,0,Spam
81,7,0.794,8,798,4,0,Spam
36,17,0.969,5,423,5,0,Not Spam
50,1,0.573,4,647,2,0,Not Spam
4,12,0.22,15,574,3,1,Not Spam
2,5,0.862,13,762,0,0,Not Spam
6,20,0.743,1,589,3,0,Not Spam
54,5,0.414,1,225,4,1,Not Spam
4,8,0.474,7,429,3,1,Not Spam
54,15,0.411,14,825,3,1,Spam
93,10,0.93,0,625,0,0,Not Spam
63,6,0.344,7,55,4,0,Not Spam
18,9,0.963,10,249,2,1,Spam
90,9,0.91,9,246,0,1,Spam
44,19,0.631,10,714,4,1,Spam
34,17,0.58,6,281,4,1,Spam
74,19,0.37,6,150,3,0,Not Spam
62,8,0.018,4,596,1,1,Not Spam
100,14,0.128,2,911,1,0,Not Spam
14,3,0.754,6,467,2,1,Not Spam
95,7,0.472,6,205,3,1,Spam
48,8,0.15,6,648,1,0,Not Spam
15,12,0.264,15,205,0,1,Not Spam
72,8,0.948,11,293,2,1,Spam
78,3,0.367,14,682,3,1,Spam
87,16,0.908,14,371,5,0,Spam
62,15,0.305,10,432,0,0,Not Spam
40,14,0.543,1,170,1,1,Not Spam
85,2,0.02,2,403,1,1,Not Spam
80,19,0.522,2,55,1,0,Not Spam
82,4,0.637,3,345,1,0,Not Spam
53,4,0.234,11,484,4,0,Not Spam
24,19,0.579,15,485,5,1,Spam
26,14,0.647,8,114,2,1,Spam
89,17,0.687,9,153,2,1,Spam
60,14,0.776,14,181,1,1,Spam
41,1,0.311,15,575,2,0,Spam
29,12,0.568,0,319,5,0,Not Spam
15,3,0.982,14,814,0,0,Spam
45,9,0.898,14,375,0,1,Spam
65,12,0.953,11,259,2,0,Spam
89,9,0.386,6,583,1,1,Spam
71,8,0.787,6,957,3,0,Spam
9,7,0.62,10,812,5,1,Not Spam
88,2,0.083,3,605,1,1,Spam
1,15,0.824,12,826,4,0,Spam
8,13,0.677,10,769,3,0,Spam
88,8,0.199,0,186,5,0,Spam
63,20,0.08,2,159,4,0,Spam
11,10,0.837,15,158,2,0,Spam
81,2,0.079,4,900,4,0,Not Spam
8,4,0.091,11,254,2,1,Spam
35,9,0.427,1,22,4,0,Not Spam
35,12,0.135,6,275,3,1,Not Spam
33,3,0.914,13,390,4,1,Not Spam
5,12,0.47,9,297,1,1,Not Spam
41,11,0.569,9,535,2,0,Not Spam
