Age,Annual_Income,Credit_Score,Employment_Years,Loan_Amount,Debt_to_Income_Ratio,Existing_Loans,Dependents,Loan_Approved
56,109614,636,10,300528,0.65,5,5,Yes
46,108116,781,11,365687,0.77,0,2,No
32,76235,485,28,240428,0.24,4,1,No
60,34855,468,10,306366,0.69,0,5,No
25,56169,559,18,264487,0.63,3,1,No
38,66404,806,12,99605,0.55,0,2,Yes
56,39569,820,3,178888,0.34,4,0,Yes
36,145074,770,13,46882,0.13,1,3,Yes
40,149006,460,11,452255,0.41,0,5,Yes
28,74437,588,26,199418,0.13,1,0,Yes
28,68506,639,1,56056,0.43,3,4,Yes
41,45738,801,29,387997,0.67,2,0,Yes
53,26772,405,7,415412,0.8,2,3,No
57,110410,774,21,9999,0.2,4,1,Yes
41,39731,762,18,422242,0.21,0,3,Yes
20,30131,782,12,268874,0.66,3,5,No
39,86324,452,20,63175,0.4,3,3,No
19,74097,448,20,336104,0.74,1,3,No
41,101720,487,27,461050,0.63,5,0,No
61,116433,430,0,305974,0.6,4,1,No
47,22889,751,28,231324,0.13,3,1,Yes
55,29569,815,4,101762,0.08,0,5,Yes
19,107193,790,21,203815,0.29,3,0,Yes
38,95677,775,25,214639,0.21,2,0,Yes
50,105192,562,25,33008,0.58,4,0,Yes
29,143757,837,26,231092,0.39,1,4,Yes
39,107154,758,10,379315,0.44,0,4,Yes
61,97470,835,10,336048,0.66,2,3,Yes
42,128073,594,12,485607,0.41,3,5,No
44,108822,734,1,72763,0.46,4,4,Yes
59,146019,574,18,389471,0.68,4,0,No
45,27612,607,15,184594,0.37,0,0,Yes
33,71644,675,25,201196,0.11,1,0,Yes
32,52069,457,4,428538,0.44,2,1,No
64,101741,503,13,375900,0.48,5,5,No
61,47331,374,28,411033,0.43,1,1,No
20,75897,679,18,444690,0.24,0,4,Yes
54,33934,603,4,183202,0.22,0,2,Yes
24,30095,361,20,149298,0.33,2,2,No
38,111494,407,23,115016,0.17,4,0,No
26,122544,486,25,298301,0.55,4,1,No
56,38706,528,8,91300,0.51,2,5,Yes
35,63516,347,23,481956,0.52,1,3,No
21,123602,567,11,390672,0.22,2,4,Yes
42,117008,553,15,5188,0.23,5,1,Yes
31,54629,386,18,494149,0.64,4,0,No
26,66910,480,14,276558,0.57,1,0,No
43,108540,324,16,239597,0.71,3,2,No
19,144746,687,29,243046,0.35,1,5,Yes
37,40431,521,14,142818,0.46,4,5,No
45,76733,696,2,412547,0.6,0,0,Yes
64,60088,810,16,343934,0.78,1,0,Yes
24,64135,739,12,342897,0.79,1,3,Yes
61,135786,474,26,86119,0.8,0,4,No
25,58015,610,8,173452,0.72,4,3,Yes
64,120038,573,27,383720,0.53,3,2,Yes
52,51385,334,12,432534,0.06,3,1,No
31,90199,516,15,20800,0.57,2,5,No
34,58677,707,18,362892,0.23,3,2,No
53,138104,818,13,126747,0.09,3,5,Yes
57,32818,568,7,380013,0.57,1,0,No
21,108222,774,21,32492,0.62,2,4,Yes
19,83001,624,18,234200,0.54,3,0,Yes
